price,brand,utility,weight,warranty,display_size,ppi,touch_screen,ram,ssd,graphic,core,hdmi,backlit_keyboard,battery_capacity,pixel_height,processor
37990.0,Infinix,Everyday Use,lite,1.0,small,157,0,16,1024,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
184999.0,Dell,Performance,medium,3.0,medium,145,0,16,512,NVIDIA,6.0,0,1,very_high,1200.0,Intel i7 10.0
177990.0,Lenovo,Gaming,heavy,1.0,large,236,0,16,1024,NVIDIA,14.0,1,1,very_high,2000.0,Intel i9 13.0
51487.0,Dell,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,10.0,1,1,low,1080.0,Intel i5 12.0
94990.0,Asus,Gaming,heavy,1.0,large,142,0,16,1024,NVIDIA,10.0,1,1,high,1200.0,Intel i5 13.0
25990.0,Ultimus,Performance,lite,1.0,medium,156,0,8,512,Integrated,4.0,1,0,low,1080.0,Intel i5 10.0
47990.0,Infinix,Performance,lite,1.0,small,157,0,16,512,Integrated,10.0,1,1,medium,1080.0,Intel i7 12.0
45990.0,MSI,Performance,medium,2.0,medium,141,0,8,512,NVIDIA,6.0,1,1,medium,1080.0,Intel i5 11.0
55990.0,MSI,Performance,medium,2.0,medium,141,0,16,256,NVIDIA,6.0,1,1,medium,1080.0,Intel i5 11.0
70500.0,Asus,Everyday Use,lite,1.0,small,162,1,16,1024,AMD,8.0,1,1,high,1200.0,AMD 7 5.0
65500.0,Asus,Everyday Use,lite,1.0,small,162,1,16,1024,AMD,6.0,1,1,high,1200.0,AMD 5 5.0
40500.0,Lenovo,Performance,medium,1.0,medium,141,0,4,256,Integrated,4.0,1,0,medium,1080.0,AMD 3 4.0
90000.0,Lenovo,Business,lite,1.0,small,157,0,16,512,AMD,8.0,1,0,medium,1080.0,AMD 7 4.0
36990.0,MSI,Performance,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
29990.0,MSI,Performance,medium,1.0,medium,141,0,8,512,Integrated,2.0,1,1,medium,1080.0,Intel i3 11.0
62990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,6.0,1,1,high,1080.0,AMD 5 6.0
40990.0,Lenovo,Performance,medium,1.0,medium,157,0,8,512,Integrated,6.0,1,0,low,1080.0,Intel i3 12.0
34499.0,Lenovo,Performance,medium,1.0,medium,141,0,8,512,AMD,4.0,1,1,low,1080.0,AMD 5 7.0
38990.0,MSI,Performance,lite,1.0,small,157,0,16,512,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
85990.0,Asus,Performance,heavy,1.0,medium,141,0,16,512,NVIDIA,12.0,1,1,very_high,1080.0,Intel i5 12.0
66290.0,Lenovo,Performance,medium,1.0,medium,141,0,8,512,AMD,4.0,1,1,low,1080.0,AMD 5 7.0
67990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,high,1080.0,Intel i5 12.0
42990.0,Asus,Everyday Use,medium,1.0,small,157,0,16,512,Integrated,2.0,1,0,low,1080.0,Intel i3 11.0
54990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,6.0,1,1,high,1080.0,AMD 5 6.0
52290.0,HP,Everyday Use,medium,1.0,medium,157,0,8,512,AMD,6.0,1,1,low,1080.0,AMD 5 5.0
109990.0,Asus,Performance,medium,1.0,medium,212,0,16,1024,Integrated,14.0,1,1,high,1620.0,Intel i9 13.0
48990.0,Honor,Everyday Use,medium,1.0,large,142,0,16,512,Integrated,8.0,1,1,high,1200.0,Intel i5 12.0
58990.0,Asus,Performance,lite,1.0,small,162,0,16,512,Integrated,12.0,1,1,high,1200.0,Intel i5 12.0
35990.0,MSI,Performance,lite,1.0,small,157,0,8,512,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
