brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen,price
7.0,2.0,1.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,10.0,6.0,1,1,1,0,1,0,0,0,1,3.0,41.0,1920.0,1080.0,1,0,2.0,18.0,12.0,37516.0
4.0,2.0,2.0,1.0,0.0,142,0.0,1,0,16,0,512,0.0,16.0,6.0,1,0,1,1,1,0,1,0,0,3.0,50.0,1920.0,1200.0,1,0,0.0,4.0,5.0,53981.0
10.0,2.0,1.0,1.0,2.0,112,1.0,1,0,8,1024,0,0.0,12.0,6.0,1,1,1,0,1,0,0,1,0,2.0,39.840625,1366.0,768.0,0,0,0.0,2.0,7.0,22980.0
26.0,2.0,1.0,1.0,1.0,242,0.0,0,0,16,0,512,1.0,8.0,4.0,1,0,1,1,1,1,1,0,0,2.0,39.840625,3200.0,2000.0,1,0,2.0,19.0,11.0,46990.0
15.0,2.0,1.0,1.0,2.0,141,1.0,1,0,16,0,512,1.0,12.0,8.0,1,0,1,1,1,0,0,0,0,3.0,56.6,1920.0,1080.0,0,0,2.0,19.0,12.0,56990.0
13.0,2.0,3.0,1.0,2.0,157,1.0,0,0,8,0,512,1.0,10.0,6.0,1,0,1,1,1,0,0,0,0,3.0,50.0,1920.0,1080.0,0,2,2.0,18.0,12.0,29990.0
4.0,2.0,2.0,1.0,0.0,142,0.0,1,0,16,0,512,2.0,20.0,10.0,1,0,1,1,1,1,0,0,0,4.0,70.58211920529801,1920.0,1200.0,0,0,2.0,19.0,13.0,89990.0
4.0,2.0,3.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,18.0,12.0,1,0,1,1,1,0,1,0,0,3.0,42.0,1920.0,1080.0,1,0,2.0,19.0,12.0,55990.0
2.0,2.0,3.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,6.0,2.0,1,1,1,0,1,0,0,1,0,3.0,36.0,1920.0,1080.0,1,0,2.0,18.0,11.0,27990.0
2.0,2.0,1.0,1.0,2.0,157,1.0,1,0,8,0,256,1.0,6.0,2.0,1,0,1,0,1,0,0,1,0,2.0,45.5,1920.0,1080.0,1,0,2.0,18.0,11.0,24990.0
2.0,2.0,1.0,1.0,2.0,135,1.0,0,0,8,0,512,1.0,8.0,4.0,1,0,1,0,1,0,0,1,0,2.0,45.5,1920.0,1080.0,1,0,2.0,19.0,11.0,32990.0
10.0,2.0,1.0,1.0,1.0,100,1.0,1,0,8,0,512,0.0,16.0,6.0,1,1,1,0,1,0,0,1,0,3.0,41.0,1366.0,768.0,0,0,0.0,4.0,5.0,36850.0
15.0,2.0,3.0,1.0,1.0,147,1.0,1,0,8,0,512,0.0,8.0,6.0,1,0,1,0,1,0,0,1,0,2.0,38.0,1920.0,1080.0,1,0,0.0,4.0,5.0,36990.0
7.0,2.0,2.0,1.0,1.0,141,1.0,1,0,8,0,512,2.0,18.0,12.0,1,0,1,1,1,0,0,1,0,3.0,41.0,1920.0,1080.0,1,0,2.0,19.0,12.0,67990.0
15.0,2.0,1.0,1.0,2.0,157,1.0,1,0,8,0,256,0.0,4.0,2.0,1,1,1,0,1,0,0,0,0,2.0,39.840625,1920.0,1080.0,1,0,0.0,2.0,7.0,18990.0
7.0,2.0,1.0,1.0,1.0,147,1.0,0,0,8,0,512,1.0,6.0,2.0,1,1,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,1,0,2.0,18.0,11.0,35980.0
10.0,2.0,2.0,1.0,0.0,137,1.0,1,0,16,0,512,2.0,16.0,8.0,1,0,1,1,1,0,0,1,0,4.0,70.0,1920.0,1080.0,0,0,0.0,5.0,7.0,80990.0
10.0,2.0,1.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,12.0,10.0,1,1,1,0,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,1,2.0,19.0,12.0,53999.0
15.0,2.0,1.0,1.0,0.0,141,0.0,1,0,16,0,512,1.0,12.0,8.0,1,0,1,1,1,0,0,0,0,3.0,56.6,1920.0,1080.0,0,0,2.0,19.0,12.0,58989.0
16.0,2.0,3.0,2.0,1.0,141,1.0,1,0,16,0,1024,2.0,24.0,14.0,1,0,1,1,1,0,0,1,0,3.0,53.5,1920.0,1080.0,1,0,2.0,21.0,13.0,126990.0
2.0,2.0,3.0,1.0,1.0,141,1.0,1,0,16,0,512,1.0,8.0,4.0,1,1,1,0,1,0,0,1,0,3.0,36.0,1920.0,1080.0,1,0,2.0,19.0,11.0,42999.0
7.0,2.0,1.0,1.0,2.0,141,0.0,1,0,16,0,1024,1.0,18.0,12.0,1,1,1,1,1,0,1,0,0,4.0,54.0,1920.0,1200.0,0,0,2.0,20.0,13.0,84499.0
13.0,2.0,1.0,1.0,2.0,157,1.0,0,0,8,0,256,1.0,6.0,2.0,1,0,1,1,1,0,0,0,0,2.0,50.0,1920.0,1080.0,0,0,2.0,18.0,11.0,30990.0
