price,brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen
23990.0,Infinix,Windows,Everyday Use,1.0,small,157,16:9,0,0,8,0,512,Integrated,6.0,2.0,1,0,1,1,1,0,0,0,0,2.0,50.0,1920.0,1080.0,0,0,Intel,i3,11.0
97989.0,Acer,Windows,Gaming,1.0,medium,188,16:9,1,0,16,0,1024,NVIDIA,24.0,10.0,1,0,1,1,1,0,0,1,0,4.0,57.5,2560.0,1440.0,0,0,Intel,i7,12.0
109990.0,Asus,Windows,Performance,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,24.0,14.0,1,0,1,1,1,1,0,1,0,4.0,90.0,1920.0,1080.0,0,0,Intel,i7,12.0
47741.0,Asus,Windows,Performance,1.0,medium,141,16:9,1,0,8,0,512,Integrated,12.0,10.0,1,0,1,1,1,0,1,0,0,3.0,42.0,1920.0,1080.0,1,0,Intel,i5,12.0
75990.0,Asus,Windows,Performance,1.0,medium,212,16:9,1,0,16,0,512,Integrated,18.0,12.0,1,0,1,1,1,1,1,0,0,4.0,70.58211920529801,2880.0,1620.0,1,0,Intel,i5,13.0
59990.0,MSI,Windows,Performance,1.0,medium,141,16:9,1,0,16,0,512,AMD,16.0,8.0,1,0,1,1,1,0,0,1,0,3.0,53.5,1920.0,1080.0,1,0,AMD,7,5.0
126990.0,Apple,Mac,Performance,1.0,medium,224,16:9,0,0,8,0,256,Integrated,16.0,8.0,0,0,1,1,1,1,1,0,1,4.0,66.5,2880.0,1864.0,0,2,Apple,M2,2.0
23990.0,Infinix,Windows,Performance,1.0,medium,141,16:9,1,0,8,0,512,Integrated,4.0,4.0,1,0,1,1,1,0,0,0,0,2.0,40.0,1920.0,1080.0,0,0,Intel,N5100,11.0
69990.0,Asus,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,16.0,8.0,1,0,1,1,1,0,1,0,0,3.0,50.0,1920.0,1080.0,2,0,AMD,7,5.0
33999.0,Acer,Windows,Everyday Use,1.0,medium,141,16:9,0,0,8,0,512,AMD,4.0,4.0,1,0,1,0,1,0,0,0,0,3.0,40.0,1920.0,1080.0,0,0,AMD,3,7.0
47990.0,Acer,Windows,Gaming,1.0,medium,141,16:9,1,0,12,0,512,Integrated,12.0,10.0,1,0,1,1,1,1,1,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,Intel,i5,12.0
59990.0,Xiaomi,Windows,Everyday Use,1.0,small,215,16:10,1,0,16,0,512,Integrated,12.0,8.0,1,0,1,1,1,1,1,0,0,3.0,49.61666666666666,2560.0,1600.0,0,0,Intel,i5,12.0
69990.0,Acer,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,18.0,8.0,1,0,1,1,1,1,0,0,0,4.0,70.58211920529801,1920.0,1080.0,1,0,Intel,i5,12.0
37990.0,Infinix,Windows,Everyday Use,1.0,small,157,16:9,0,0,16,0,1024,Integrated,8.0,4.0,1,0,1,1,1,0,0,0,0,2.0,50.0,1920.0,1080.0,0,0,Intel,i5,11.0
184999.0,Dell,Windows,Performance,3.0,medium,145,16:9,1,0,16,0,512,NVIDIA,12.0,6.0,0,1,1,1,1,1,0,0,0,6.0,84.42653061224489,1920.0,1200.0,0,3,Intel,i7,10.0
177990.0,Lenovo,Windows,Gaming,1.0,large,236,16:9,1,0,16,0,1024,NVIDIA,24.0,14.0,1,1,1,1,1,1,1,0,0,4.0,99.9,3200.0,2000.0,0,0,Intel,i9,13.0
51487.0,Dell,Windows,Everyday Use,1.0,medium,141,16:9,1,0,8,0,512,Integrated,12.0,10.0,1,1,1,1,1,0,0,0,0,3.0,41.0,1920.0,1080.0,1,0,Intel,i5,12.0
94990.0,Asus,Windows,Gaming,1.0,large,142,16:10,1,0,16,0,1024,NVIDIA,20.0,10.0,1,0,1,1,1,1,0,0,0,4.0,70.58211920529801,1920.0,1200.0,0,0,Intel,i5,13.0
25990.0,Ultimus,Windows,Performance,1.0,medium,156,16:9,0,0,8,0,512,Integrated,6.0,4.0,1,0,1,0,1,0,0,1,0,2.0,39.840625,1920.0,1080.0,0,0,Intel,i5,10.0
47990.0,Infinix,Windows,Performance,1.0,small,157,16:9,0,0,16,0,512,Integrated,12.0,10.0,1,0,1,1,1,0,0,0,0,3.0,50.0,1920.0,1080.0,0,2,Intel,i7,12.0
45990.0,MSI,Windows,Performance,2.0,medium,141,16:9,1,0,8,0,512,NVIDIA,12.0,6.0,1,0,1,1,1,1,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,Intel,i5,11.0
55990.0,MSI,Windows,Performance,2.0,medium,141,16:9,1,0,16,1024,256,NVIDIA,12.0,6.0,1,0,1,1,1,1,0,1,0,3.0,52.4,1920.0,1080.0,0,0,Intel,i5,11.0
70500.0,Asus,Windows,Everyday Use,1.0,small,162,16:10,0,1,16,0,1024,AMD,16.0,8.0,1,0,1,1,1,0,0,0,0,3.0,70.0,1920.0,1200.0,1,0,AMD,7,5.0
65500.0,Asus,Windows,Everyday Use,1.0,small,162,16:10,0,1,16,0,1024,AMD,16.0,6.0,1,0,1,1,1,0,0,0,0,3.0,70.0,1920.0,1200.0,1,0,AMD,5,5.0
40500.0,Lenovo,Windows,Performance,1.0,medium,141,16:9,1,0,4,0,256,Integrated,4.0,4.0,1,0,1,0,1,0,0,1,0,3.0,49.61666666666666,1920.0,1080.0,1,0,AMD,3,4.0
90000.0,Lenovo,Windows,Business,1.0,small,157,16:9,1,0,16,0,512,AMD,8.0,8.0,1,0,1,0,1,0,0,1,0,3.0,50.0,1920.0,1080.0,0,0,AMD,7,4.0
36990.0,MSI,Windows,Performance,1.0,medium,141,16:9,1,0,8,0,512,Integrated,8.0,4.0,1,0,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,2,0,Intel,i5,11.0
29990.0,MSI,Windows,Performance,1.0,medium,141,16:9,1,0,8,0,512,Integrated,6.0,2.0,1,0,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,2,0,Intel,i3,11.0
62990.0,Lenovo,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,16.0,6.0,1,0,1,1,1,0,0,1,0,4.0,60.0,1920.0,1080.0,0,0,AMD,5,6.0
40990.0,Lenovo,Windows,Performance,1.0,medium,157,16:9,1,0,8,0,512,Integrated,10.0,6.0,1,1,1,0,1,0,0,0,0,3.0,45.0,1920.0,1080.0,1,0,Intel,i3,12.0
34499.0,Lenovo,Others,Performance,1.0,medium,141,16:9,1,0,8,0,512,AMD,8.0,4.0,1,1,1,1,1,1,1,1,0,3.0,45.0,1920.0,1080.0,0,0,AMD,5,7.0
38990.0,MSI,Windows,Performance,1.0,small,157,16:9,1,0,16,0,512,Integrated,8.0,4.0,1,0,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,2,0,Intel,i5,11.0
85990.0,Asus,Windows,Performance,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,18.0,12.0,1,0,1,1,1,1,0,1,0,4.0,90.0,1920.0,1080.0,0,0,Intel,i5,12.0
66290.0,Lenovo,Windows,Performance,1.0,medium,141,16:9,1,0,8,0,512,AMD,4.0,4.0,1,1,1,1,1,0,0,0,0,3.0,42.0,1920.0,1080.0,1,0,AMD,5,7.0
67990.0,Lenovo,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,12.0,8.0,1,0,1,1,1,0,0,1,0,3.0,60.0,1920.0,1080.0,0,0,Intel,i5,12.0
42990.0,Asus,Windows,Everyday Use,1.0,small,157,16:9,1,0,16,0,512,Integrated,6.0,2.0,1,0,1,0,1,0,1,0,0,2.0,39.840625,1920.0,1080.0,2,0,Intel,i3,11.0
54990.0,Lenovo,Windows,Gaming,1.0,medium,141,16:9,1,0,8,0,512,NVIDIA,16.0,6.0,1,0,1,1,1,0,0,1,0,4.0,60.0,1920.0,1080.0,0,0,AMD,5,6.0
52290.0,HP,Windows,Everyday Use,1.0,medium,157,16:9,1,0,8,0,512,AMD,16.0,6.0,1,0,1,1,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,0,AMD,5,5.0
109990.0,Asus,Windows,Performance,1.0,medium,212,16:9,1,0,16,0,1024,Integrated,24.0,14.0,1,0,1,1,1,1,1,0,0,4.0,70.58211920529801,2880.0,1620.0,1,0,Intel,i9,13.0
48990.0,Honor,Windows,Everyday Use,1.0,large,142,16:9,1,0,16,0,512,Integrated,12.0,8.0,1,0,1,1,1,0,1,0,0,2.0,60.0,1920.0,1200.0,0,0,Intel,i5,12.0
58990.0,Asus,Windows,Performance,1.0,small,162,16:10,1,0,16,0,512,Integrated,18.0,12.0,1,0,1,1,1,0,1,0,0,3.0,70.0,1920.0,1200.0,1,0,Intel,i5,12.0
