name,price,brand,no_of_votes,rating,os,utility,thickness,weight,warranty,display_size,pixel,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,thread,processor,core,hdmi,mcr,wifi,bluetooth,usb,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,camera,num_of_cell,battery_capacity
Acer Extensa EX215-23 NX.EH3SI.003 Laptop (Ryzen 5 7520U/ 8 GB/512 GB SSD/Win11 Home),34990.0,Acer,677,4.15,Windows 11,Everyday Use,18.9\u2009mmSlim, 1.78\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,,,8\u2009GB LPDDR5 RAMAverage,,512\u2009GB SSD,AMD Radeon AMD Graphics,4\u2009MB Cache,8 Threads,7th Gen AMD Ryzen 5 7520U, Quad Core,HDMI,,WiFi,Bluetooth v5.1,2 x USB 3.0,,Inbuilt Microphone,,,,,,3 Cell BatteryGood,40\u2009Wh
Asus Vivobook Go 15 OLED 2023 E1504FA-LK322WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),39990.0,Asus,432,4.25,Windows 11,Performance,17.9\u2009mmSlim, 1.63\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,8\u2009GB LPDDR5 RAMAverage,,512\u2009GB SSD,AMD Radeon AMD Graphics,4\u2009MB Cache,8 Threads,7th Gen AMD Ryzen 3 7320U, Quad Core,HDMI,,WiFi,Bluetooth v5.0,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,,,,,,
Lenovo IdeaPad 3 14IAU7 82RJ0050IN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),39990.0,Lenovo,83,4.25,Windows 11,Performance,19.9\u2009mmAverage, 1.43\u2009kgLight,1 Year Warranty,14\u2009inchesSmall,1920\u2009x\u20091080\u2009pixelsAverage,~ 157\u2009PPIHigh,,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel Integrated UHD Graphics,10\u2009MB Cache,8 Threads,12th Gen Intel Core i3 1215U, Hexa Core (2P + 4E),HDMI,Multi Card Reader,WiFi,Bluetooth v5.0,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,,
MSI Stealth GS77 12UHS-226IN Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),308990.0,MSI,70,4.3,Windows 11,Gaming,21\u2009mmAverage, 2.8\u2009kgHeavy,2 Year Warranty,17.3\u2009inchesLarge,3840\u2009x\u20092160\u2009pixelsGood,~ 255\u2009PPIHigh,,Anti Glare,,32\u2009GB DDR5 RAMLargest,,2\u2009TB SSD,NVIDIA GeForce RTX 3080Ti GraphicsLargest,24\u2009MB Cache,20 Threads,12th Gen Intel Core i9 12900H, 14 Cores (6P + 8E),HDMI,Multi Card Reader,WiFi,Bluetooth v5.2,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,Fingerprint Sensor,Ethernet (LAN),,,4 Cell Battery,
Infinix INBook Y1 Plus XL28 Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),26990.0,Infinix,1944,4.1,Windows 11,Everyday Use,18.2\u2009mmAverage, 1.76\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB LPDDR4X RAMLargest,,512\u2009GB SSD,Intel Integrated UHD Graphics,4\u2009MB Cache,4 Threads,10th Gen Intel Core i3 1005G1, Dual Core,HDMI,,WiFi,Bluetooth v5.1,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,,,2\u2009MP Camera,,50\u2009Wh BatteryGood
Infinix INBook Y1 Plus Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),26990.0,Infinix,2193,4.2,Windows 11,Everyday Use,18.2\u2009mmAverage, 1.76\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB LPDDR4X RAMLargest,,256\u2009GB SSD,Intel Integrated UHD Graphics,4\u2009MB Cache,4 Threads,10th Gen Intel Core i3 1005G1, Dual Core,HDMI,,WiFi,Bluetooth v5.1,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,,,2\u2009MP Camera,,50\u2009Wh BatteryGood
HP 15s-fq2717TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),37990.0,HP,694,4.15,Windows 11,Performance,17.9\u2009mmSlim, 1.69\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel UHD Graphics Graphics,6\u2009MB Cache,4 Threads,11th Gen Intel Core i3 1115G4, Dual Core,HDMI,Multi Card Reader,WiFi,Bluetooth v5.0,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,,,,3 Cell BatteryGood,41\u2009Wh
HP 15s-fr4000TU Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),51990.0,HP,2315,4.3,Windows 11,Performance,17.9\u2009mmSlim, 1.69\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel Integrated Iris Xe Graphics,8\u2009MB Cache,8 Threads,11th Gen Intel Core i5 1155G7, Quad Core,HDMI,Multi Card Reader,WiFi,Bluetooth v5.0,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,,,,3 Cell BatteryGood,41\u2009Wh
Asus Vivobook 16X M1603QA-MB512WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),53990.0,Asus,140,4.3,Windows 11,Gaming,20\u2009mmThick, 1.8\u2009kgAverage,1 Year Warranty,16\u2009inchesLarge,1200\u2009x\u20091920\u2009pixelsGood,~ 283\u2009PPIHigh,16:10 Aspect Ratio,Anti Glare,,16\u2009GB DDR4 RAMLarge,,512\u2009GB SSD,AMD Radeon Vega 7 Graphics,16\u2009MB Cache,12 Threads,5th Gen AMD Ryzen 5 5600H, Hexa Core,HDMI,,WiFi,Bluetooth v5.0,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,,
Dell Latitude 3430 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),108000.0,Dell,99,4.35,Windows 11,Everyday Use,, 1.59\u2009kgAverage,1 Year Warranty,14\u2009inchesAverage,1366\u2009x\u2009768\u2009pixelsBad,~ 112\u2009PPILowest,16:9 Aspect Ratio,,,8\u2009GB DDR4 RAMSmallest,,512\u2009GB SSD,Intel Iris Xe Graphics Graphics,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 1235U, 10 Cores (2P + 8E),HDMI,Multi Card Reader,WiFi,Bluetooth v5.1,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,Ethernet (LAN),,,4 Cell Battery,
HP Envy x360 15-ew0041TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),83990.0,HP,110,4.25,Windows 11,Business,18.6\u2009mmAverage, 1.6\u2009kgAverage,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,Touch Screen,16\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel Iris Xe Graphics Graphics,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 1235U, 10 Cores (2P + 8E),HDMI,Multi Card Reader,WiFi,Bluetooth v5.2,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,,,5\u2009MP Camera,3 Cell BatteryGood,51\u2009Wh
MSI Modern 14 C11M-029IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),38990.0,MSI,356,4.25,Windows 11,Performance,19.35\u2009mmAverage, 1.4\u2009kgLight,1 Year Warranty,14\u2009inchesSmall,1920\u2009x\u20091080\u2009pixelsAverage,~ 157\u2009PPIHigh,,Anti Glare,,16\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,Intel Integrated Iris Xe Graphics,8\u2009MB Cache,8 Threads,11th Gen Intel Core i5 1155G7, Quad Core,HDMI,,WiFi,Bluetooth v5.2,2 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,,,,,3 Cell Battery,
Dell Inspiron 3535 Laptop (AMD Ryzen R5-7520U/ 8GB/ 512GB/ Win11),44550.0,Dell,110,4.0,Windows 11,Everyday Use,, 1.63\u2009kgAverage,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 147\u2009PPIHigh,16:9 Aspect Ratio,Anti Glare,,8\u2009GB LPDDR5 RAMAverage,,512\u2009GB SSD,AMD Radeon Graphics Graphics,4\u2009MB Cache,8 Threads,7th Gen Amd Ryzen 5 7520U, Quad Core,HDMI,Multi Card Reader,WiFi,Bluetooth,1 x USB 2.0,,Inbuilt Microphone,,,,,,3 Cell BatteryGood,41\u2009Wh
Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),89990.0,Infinix,115,4.05,Windows 11,Performance,16.95\u2009mmSlim, 1.8\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,32\u2009GB LPDDR5X RAMLargest,,1\u2009TB SSD,Intel Integrated Iris Xe Graphics,24\u2009MB Cache,20 Threads,13th Gen Intel Core i9 13900H, 14 Cores (6P + 8E),HDMI,,WiFi,Bluetooth v5.2,2 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,Display Port,,,70\u2009Wh BatteryGood
HP ZBook Firefly 16 G9 6V2X7PA Workstation PC Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),143000.0,HP,91,4.45,Windows 11,Everyday Use,19.9\u2009mmAverage, 1.8\u2009kgAverage,1 Year Warranty,16\u2009inchesLarge,1920\u2009x\u20091200\u2009pixelsAverage,~ 142\u2009PPILow,,Anti Glare,,16\u2009GB DDR5 RAMAverage,,1\u2009TB SSD,Intel Iris Xe Graphics Graphics,12\u2009MB Cache,12 Threads,12th Gen Intel Core i7 1255U, 10 Cores (2P + 8E),HDMI,,WiFi,Bluetooth v5.2,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,3 Cell BatteryGood,51\u2009Wh
Acer Aspire 5 A515-58M 2023 Gaming Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),42990.0,Acer,74,4.75,Windows 11,Everyday Use,, 1.75\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,8\u2009GB LPDDR5 RAMAverage,,512\u2009GB SSD,Intel Iris Xe Graphics Graphics,10\u2009MB Cache,8 Threads,13th Gen Intel Core i3 1315U, Hexa Core (2P + 4E),HDMI,,WiFi,Bluetooth v5.1,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,,,,3 Cell BatteryGood,50\u2009Wh
Dell XPS 17 9730 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),354490.0,Dell,65,4.0,Windows 11,Everyday Use,19.5\u2009mmSlim, 2.44\u2009kgAverage,1 Year Warranty,17\u2009inchesAverage,3840\u2009x\u20092400\u2009pixelsBest,~ 266\u2009PPIHigh,16:10 Aspect Ratio,Anti Glare,Touch Screen,32\u2009GB DDR5 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 4070 GraphicsSmall,24\u2009MB Cache,20 Threads,13th Gen Intel Core i9 13900H, 14 Cores (6P + 8E),,Multi Card Reader,WiFi,Bluetooth,4 x USB Type-C,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,Fingerprint Sensor,,,,6 Cell BatteryGood,97\u2009Wh
Lenovo V15 G3 IAP 82TTA00UIH Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ DOS),33900.0,Lenovo,101,4.55,DOS,Everyday Use,19.9\u2009mmAverage, 1.7\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel Integrated UHD Graphics,10\u2009MB Cache,8 Threads,12th Gen Intel Core i3 1215U, Hexa Core (2P + 4E),HDMI,,WiFi,Bluetooth v5.0,1 x USB 2.0,,Inbuilt Microphone,,,Ethernet (LAN),,,2 Cell Battery,
HP Pavilion 15-EH3101AU Laptop (AMD Ryzen 7- 7730U/ 16GB/ 512GB SSD/ Win11 Home),66999.0,HP,69,4.45,Windows 11,Everyday Use,17.9\u2009mmSlim, 1.75\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,AMD Radeon Vega 8 Graphics Graphics,16\u2009MB Cache,16 Threads,7th Gen AMD Ryzen 7 7730U, Octa Core,HDMI,,WiFi,Bluetooth v5.2,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,,,,3 Cell Battery,
Acer Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),49990.0,Acer,458,4.15,Windows 11,Performance,19.9\u2009mmAverage, 2.1\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,,,16\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,NVIDIA GeForce GTX 1650 GraphicsLargest,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 12450H, Octa Core (4P + 4E),HDMI,,WiFi,Bluetooth v5.1,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,Ethernet (LAN),,,3 Cell Battery,
Dell Vostro 5630 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),89990.0,Dell,100,4.6,Windows 11,Everyday Use,18\u2009mmAverage, 1.91\u2009kgHeavy,1 Year Warranty,16\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 138\u2009PPILow,16:10 Aspect Ratio,Anti Glare,,16\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,,12\u2009MB Cache,12 Threads,13th Gen Intel Core i7 1355U, 10 Cores (2P + 8E),HDMI,Multi Card Reader,WiFi,Bluetooth v5.0,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,Ethernet (LAN),,,4 Cell BatteryGood,54\u2009Wh
Lenovo V15 G4 82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),31990.0,Lenovo,84,4.4,Windows 11,Performance,19.9\u2009mmAverage, 1.65\u2009kgAverage,1 Year Warranty,15.6\u2009inchesLargest,1920\u2009x\u20091080\u2009pixelsAverage,~ 147\u2009PPIHigh,,Anti Glare,,8\u2009GB LPDDR5 RAMAverage,,512\u2009GB SSD,AMD Radeon Graphics Graphics,4\u2009MB Cache,8 Threads,7th Gen AMD Ryzen 3 7320U, Quad Core,HDMI,Multi Card Reader,WiFi,Bluetooth,2 x USB 3.0,,Inbuilt Microphone,,,Ethernet (LAN),,,,
Lenovo Legion 5 Pro 2023 Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),172990.0,Lenovo,70,4.65,Windows 11,Gaming,,,1 Year Warranty,16\u2009inchesAverage,2560\u2009x\u20091600\u2009pixelsAverage,~ 184\u2009PPIAverage,16:10 Aspect Ratio,Anti Glare,,32\u2009GB DDR5 RAMLargest,,1\u2009TB SSD,NVIDIA GeForce RTX 4090 GraphicsLargest,24\u2009MB Cache,20 Threads,13th Gen Intel Core i7 13700H, 14 Cores (6P + 8E),HDMI,,WiFi,Bluetooth v5.1,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,3 Cell Battery,
MSI Stealth 16 Mercedes AMG Motorsport A13V Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),292990.0,MSI,94,4.2,Windows 11,Performance,19.95\u2009mmAverage, 1.88\u2009kgLight,2 Year Warranty,16\u2009inchesAverage,3840\u2009x\u20092400\u2009pixelsBest,~ 283\u2009PPIHighest,,Anti Glare,,32\u2009GB DDR5 RAMLargest,,1\u2009TB SSD,NVIDIA GeForce RTX 4070 GraphicsAverage,24\u2009MB Cache,20 Threads,13th Gen Intel Core i9 13900H, 14 Cores (6P + 8E),HDMI,,WiFi,Bluetooth v5.3,1 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,Ethernet (LAN),,,4 Cell BatteryGood,99.9\u2009Wh
Acer Aspire 7 A715-76G NH.QMESI.002 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),47990.0,Acer,431,4.2,Windows 11,Gaming,19.9\u2009mmAverage, 2.1\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,NVIDIA GeForce GTX 1650 GraphicsLargest,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 12450H, Octa Core (4P + 4E),HDMI,,WiFi,Bluetooth v5.1,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,3 Cell Battery,
HP Pavilion 15-eg3027TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),66150.0,HP,87,4.4,Windows 11,Performance,17.9\u2009mmSlim, 1.74\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,Intel Integrated Intel Iris Xe Graphics Graphics,12\u2009MB Cache,16 Threads,13th Gen Intel Core i5 1340p, 12 Cores (4P + 8E),HDMI,,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,,,,,,,,41\u2009Wh BatteryGood
Asus TUF Gaming A15 2023 FA577XU-LP041WS Gaming Laptop (AMD Ryzen 9 7940HS/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),131990.0,Asus,77,4.5,Windows 11,Gaming,24.9\u2009mmThick, 2.2\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR4 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 4050 GraphicsAverage,16\u2009MB Cache,16 Threads,7th Gen AMD Ryzen 9 7940HS, Octa Core,HDMI,,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,4 Cell Battery,
Asus ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),179990.0,Asus,112,4.4,Windows 11,Gaming,30.4\u2009mmThick, 2.5\u2009kgHeavy,1 Year Warranty,16\u2009inchesAverage,2560\u2009x\u20091600\u2009pixelsAverage,~ 189\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR5 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 4060 GraphicsAverage,36\u2009MB Cache,32 Threads,13th Gen Intel Core i9 13980HX, 24 Cores (8P + 16E),HDMI,,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,4 Cell Battery,
Asus Vivobook 16X 2023 K3605ZC-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),79990.0,Asus,266,4.4,Windows 11,Performance,18.9\u2009mmAverage, 1.8\u2009kgAverage,1 Year Warranty,16\u2009inchesLarge,1920\u2009x\u20091200\u2009pixelsGood,~ 142\u2009PPIAverage,16:10 Aspect Ratio,Anti Glare,,16\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,NVIDIA GeForce RTX 3050 GraphicsAverage,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 12450H, Octa Core (4P + 4E),HDMI,Multi Card Reader,WiFi,Bluetooth v5.0,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,3 Cell BatteryGood,63\u2009Wh
HP 15s-fr5009TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),41490.0,HP,92,4.05,Windows 11,Everyday Use,17.9\u2009mmSlim, 1.69\u2009kgAverage,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel UHD Graphics Graphics,10\u2009MB Cache,8 Threads,12th Gen Intel Core i3 1215U, Hexa Core (2P + 4E),HDMI,,WiFi,Bluetooth v5.2,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,,,,3 Cell Battery,
MSI Katana 15 B12UDXK-1005IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),76990.0,MSI,121,4.25,Windows 11,Performance,24.9\u2009mmThick, 2.25\u2009kgHeavy,2 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR5 RAMAverage,,512\u2009GB SSD,NVIDIA GeForce RTX 3050 GraphicsLargest,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 12450H, Octa Core (4P + 4E),HDMI,,WiFi,Bluetooth v5.2,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,,Ethernet (LAN),,,3 Cell BatteryGood,53.5\u2009Wh
Acer Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),129990.0,Acer,102,4.25,Windows 11,Performance,2.6\u2009mmUltra Slim, 2.6\u2009kgHeavy,1 Year Warranty,16\u2009inchesLarge,2560\u2009x\u20091600\u2009pixelsGood,~ 142\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR5 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 4060 GraphicsLarge,30\u2009MB Cache,24 Threads,13th Gen Intel Core i7 13700HX, 16 Cores (8P + 8E),HDMI,,WiFi,Bluetooth v5.1,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,4 Cell BatteryGood,90\u2009Wh
Asus Vivobook 14X 2023 K3405VF-LY541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/4 GB Graphics),79990.0,Asus,100,4.3,Windows 11,Performance,18.9\u2009mmAverage, 1.4\u2009kgLight,1 Year Warranty,14\u2009inchesAverage,1920\u2009x\u20091200\u2009pixelsGood,~ 162\u2009PPIHigh,16:10 Aspect Ratio,Anti Glare,,16\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,NVIDIA GeForce RTX 2050 GraphicsAverage,18\u2009MB Cache,16 Threads,13th Gen Intel Core i5 13500H, 12 Cores (4P + 8E),HDMI,,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,3 Cell BatteryGood,50\u2009Wh
Asus Vivobook 16X 2023 K3605VC-MB542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),87990.0,Asus,115,4.35,Windows 11,Gaming,20\u2009mmThick, 1.8\u2009kgAverage,1 Year Warranty,16\u2009inchesLarge,1920\u2009x\u20091200\u2009pixelsGood,~ 283\u2009PPIHigh,16:10 Aspect Ratio,Anti Glare,,16\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,NVIDIA Geforce RTX 3050  GraphicsAverage,18\u2009MB Cache,16 Threads,13th Gen Intel Core i5 13500H, 12 Cores (4P + 8E),HDMI,Multi Card Reader,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,3 Cell BatteryGood,50\u2009Wh
Asus TUF Gaming F17 FX706HF-HX018W Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),59519.0,Asus,321,4.35,Windows 11,Gaming,, 2.6\u2009kgHeavy,1 Year Warranty,17.3\u2009inchesLargest,1920\u2009x\u20091080\u2009pixelsAverage,~ 127\u2009PPILow,16:9 Aspect Ratio,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,NVIDIA GeForce RTX 2050 GraphicsLargest,12\u2009MB Cache,12 Threads,11th Gen Intel Core i5 11400H, Hexa Core,HDMI,,WiFi,Bluetooth v5.2,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,3 Cell BatteryGood,48\u2009Wh
Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),61990.0,Asus,94,4.4,Windows 11,Gaming,24.5\u2009mmThick, 2.3\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,16\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,NVIDIA GeForce RTX 2050 GraphicsLargest,12\u2009MB Cache,12 Threads,11th Gen Intel Core i5 11400H , Hexa Core,HDMI,,WiFi,Bluetooth v5.2,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,4 Cell BatteryGood,48\u2009Wh
Acer One 14 Z8-415 Laptop (11th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),32990.0,Acer,783,3.95,Windows 11,Everyday Use,21.6\u2009mmThick, 1.5\u2009kgLight,1 Year Warranty,14\u2009inchesSmall,1920\u2009x\u20091080\u2009pixelsAverage,~ 135\u2009PPILow,,,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,\u200eIntel Iris Xe Graphics Graphics,8\u2009MB Cache,8 Threads,11th Gen Intel Core i5  1135G7, Quad Core,HDMI,,WiFi,Bluetooth v4.2,1 x USB 2.0,,Inbuilt Microphone,,,Ethernet (LAN),,,2 Cell BatteryGood,45.5\u2009Wh
