name,price,brand,no_of_votes,rating,os,utility,thickness,weight,warranty,display_size,pixel,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,thread,processor,core,hdmi,mcr,wifi,bluetooth,usb,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,camera,num_of_cell,battery_capacity
Huawei MateBook X Pro 2023 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),184990.0,Huawei,103,4.3,Windows 11,Everyday Use,15.5\u2009mmSlim, 1.38\u2009kgLight,1 Year Warranty,14.2\u2009inchesSmall,3120\u2009x\u20092080\u2009pixelsGood,~ 264\u2009PPIHigh,3:2 Aspect Ratio,Anti Glare,Touch Screen,16\u2009GB LPDDR5 RAMAverage,,1\u2009TB SSD,Intel Iris Xe Graphics,18\u2009MB Cache,16 Threads,13th Gen Intel Core i7 1360P, 12 Cores (4P + 8E),,,WiFi,Bluetooth v5.2,2 x USB Type-C,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,Fingerprint Sensor,,,,,60\u2009Wh BatteryGood
HP 15-hr0001TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),66990.0,HP,87,4.25,Windows 11,Performance,, 1.6\u2009kgLight,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,Intel Integrated Integrated Graphics,12\u2009MB Cache,12 Threads,13th Gen Intel Core i5 1335U, 10 Cores (2P + 8E),HDMI,,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,,,,3 Cell BatteryGood,41\u2009Wh
MSI Katana 15 B12UDXK-1006IN Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 6GB Graph),72990.0,MSI,101,4.65,Windows 11,Performance,24.9\u2009mmThick, 2.25\u2009kgHeavy,2 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB DDR5 RAMAverage,,512\u2009GB SSD,NVIDIA GeForce RTX 3050 GraphicsLargest,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 12450H, Octa Core (4P + 4E),HDMI,,WiFi,Bluetooth v5.2,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,,Ethernet (LAN),,,3 Cell BatteryGood,53.5\u2009Wh
MSI Thin GF63 12VE-267IN Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11/6GB Graphics),77990.0,MSI,150,4.3,Windows 11,Performance,21.7\u2009mmThick, 1.86\u2009kgAverage,2 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR4 RAMAverage,1\u2009TB HARD Disk,256\u2009GB SSDAverage,NVIDIA GeForce RTX 4050 GraphicsLargest,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 12450H, Octa Core (4P + 4E),HDMI,,WiFi,Bluetooth v5.2,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,Ethernet (LAN),,,3 Cell Battery,
HP 15s-eq1580AU Laptop (AMD Ryzen 3 3250U/ 8GB/ 512GB SSD/ Win11 Home),34990.0,HP,2447,4.2,Windows 11,Performance,17.9\u2009mmSlim, 1.82\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,AMD Radeon Graphics Graphics,4\u2009MB Cache,4 Threads,3rd Gen AMD Ryzen 3  3250U, Dual Core,HDMI,Multi Card Reader,WiFi,Bluetooth v5.0,2 x USB 3.0,,Inbuilt Microphone,,,Ethernet (LAN),,,3 Cell BatteryGood,41\u2009Wh
HP 247 G8 796Y6PA Laptop (AMD Athlon Silver 3050U/ 4GB/ 256GB SSD/ Dos),18990.0,HP,135,4.0,DOS,Everyday Use,19.9\u2009mmAverage, 1.47\u2009kgAverage,1 Year Warranty,14\u2009inchesAverage,1366\u2009x\u2009768\u2009pixelsBad,~ 112\u2009PPILow,,Anti Glare,,8\u2009GB DDR4 RAMLargest,,256\u2009GB SSD,AMD Radeon graphics Graphics,4\u2009MB Cache,2 Threads,3rd Gen AMD Athlon Silver 3050U, Dual Core,HDMI,Multi Card Reader,WiFi,Bluetooth,2 x USB 3.0,,Inbuilt Microphone,,,Ethernet (LAN),,,3 Cell BatteryGood,41\u2009Wh
Asus Vivobook S15 OLED 2023 S5504VA-MA741WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),105990.0,Asus,122,4.55,Windows 11,Performance,17.9\u2009mmAverage, 1.7\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,2880\u2009x\u20091620\u2009pixelsGood,~ 212\u2009PPIHigh,16:9 Aspect Ratio,Anti Glare,,16\u2009GB LPDDR5 RAMLargest,,512\u2009GB SSD,Intel Integrated Iris Xe Graphics,24\u2009MB Cache,20 Threads,13th Gen Intel Core i7 13700H, 14 Cores (6P + 8E),HDMI,,WiFi,Bluetooth v5.0,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,Fingerprint Sensor,,,,4 Cell Battery,
HP 15-fd0021TU Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),64999.0,HP,79,4.2,Windows 11,Performance,19.9\u2009mmAverage, 1.6\u2009kgLight,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel Iris Xe Graphics Graphics,12\u2009MB Cache,12 Threads,13th Gen Intel Core i5 1335U, 10 Cores (2P + 8E),HDMI,,WiFi,Bluetooth v5.3,2 x USB 3.0,,Inbuilt Microphone,,,,,,3 Cell BatteryGood,41\u2009Wh
Asus Vivobook 15 2023 X1504VA-NJ524WS Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),59990.0,Asus,71,4.35,Windows 11,Performance,19.9\u2009mmAverage, 1.7\u2009kgAverage,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:09 Aspect Ratio,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Integrated Intel Iris Xe Graphics Graphics,12\u2009MB Cache,12 Threads,13th Gen Intel Core i5 1335U, 10 Cores (2P + 8E),HDMI,,WiFi,Bluetooth v5.0,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,3 Cell Battery,
Dell G15-5525 D560896WIN9S Gaming Laptop (Ryzen 9 6900HX/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),132199.0,Dell,107,4.65,Windows 11,Gaming,, 2.51\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,16\u2009GB DDR5 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 3060 GraphicsAverage,16\u2009MB Cache,16 Threads,6th Gen AMD Ryzen 9 6900HX, Octa Core,HDMI,,WiFi,Bluetooth,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,Ethernet (LAN),,,6 Cell Battery,
