Unnamed: 0,price,brand,utility,weight,warranty,display_size,ppi,touch_screen,ram,ssd,graphic,core,hdmi,backlit_keyboard,battery_capacity,processor
157,71989.0,dell,Everyday Use,medium,1.0,small,low,0,16,1024,Integrated,10.0,1,1,medium,Intel i5 13.0
158,62990.0,lenovo,Gaming,heavy,1.0,medium,low,0,8,512,NVIDIA,6.0,1,1,low,AMD 5 5.0
159,83990.0,hp,Business,medium,1.0,medium,low,1,16,512,Integrated,10.0,1,1,medium,Intel i5 12.0
160,22490.0,others,Everyday Use,lite,1.0,small,very_high,0,8,512,Integrated,2.0,1,0,medium,others
161,42990.0,dell,Everyday Use,medium,1.0,medium,low,0,8,512,AMD,6.0,1,1,low,AMD 5 5.0
162,89990.0,infinix,Performance,medium,1.0,medium,low,0,32,1024,Integrated,14.0,1,1,high,Intel i9 13.0
163,56000.0,others,Everyday Use,medium,1.0,large,high,0,32,2048,AMD,8.0,1,1,very_high,AMD 7 7.0
164,23990.0,others,Performance,lite,1.0,medium,medium,0,8,512,Integrated,2.0,1,0,low,others
165,89990.0,acer,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,10.0,1,1,high,Intel i7 12.0
166,12989.0,others,Performance,medium,1.0,medium,medium,0,4,256,Integrated,2.0,1,0,low,Intel N4020 3.0
167,34990.0,infinix,Everyday Use,lite,1.0,small,medium,0,16,512,Integrated,4.0,1,1,medium,Intel i5 11.0
168,36990.0,acer,Performance,medium,1.0,medium,low,0,8,512,Integrated,6.0,1,0,medium,Intel i3 13.0
169,43990.0,others,Business,lite,1.0,small,high,0,8,512,Integrated,12.0,1,1,low,Intel i5 12.0
170,89500.0,hp,Everyday Use,lite,1.0,small,medium,1,16,512,Integrated,10.0,1,1,low,Intel i7 13.0
171,64990.0,acer,Performance,lite,1.0,small,high,0,16,512,Integrated,12.0,1,1,high,Intel i5 13.0
172,129990.0,acer,Performance,heavy,1.0,large,medium,0,16,1024,NVIDIA,16.0,1,1,very_high,Intel i7 13.0
173,114990.0,acer,Performance,heavy,1.0,large,medium,0,16,1024,NVIDIA,16.0,1,1,very_high,Intel i7 13.0
174,99990.0,acer,Performance,heavy,1.0,large,medium,0,16,512,NVIDIA,14.0,1,1,very_high,Intel i5 13.0
175,44990.0,hp,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,6.0,1,1,low,Intel i3 12.0
176,72799.0,hp,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,high,Intel i5 12.0
177,35990.0,hp,Business,medium,1.0,medium,low,0,8,512,Integrated,2.0,1,0,low,Intel i3 11.0
178,75999.0,hp,Gaming,medium,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,medium,Intel i5 12.0
179,69990.0,asus,Everyday Use,lite,1.0,small,high,1,16,512,AMD,8.0,1,1,medium,AMD 7 5.0
180,56990.0,asus,Performance,lite,1.0,small,high,0,8,512,Integrated,12.0,1,1,high,Intel i5 12.0
181,49990.0,asus,Performance,medium,1.0,medium,low,0,16,512,AMD,4.0,1,1,low,AMD 5 7.0
182,32990.0,acer,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,8.0,1,0,low,others
183,64990.0,acer,Everyday Use,heavy,1.0,medium,low,0,8,512,NVIDIA,6.0,1,1,high,AMD 5 7.0
184,44990.0,asus,Performance,medium,1.0,medium,low,0,16,512,AMD,4.0,1,0,low,AMD 5 7.0
